status,confidence,topic,specificity,cluster_size,promise_text,verbatim_quote,source_date,source_doc_id,reasoning,supporting_evidence
IN_PROGRESS,medium,București/local,medium,1,"Voi întări blocuri de locuințe, monumente istorice, clădiri emblematice, muzee și case memoriale cu fondurile atrase.","Cu aceste fonduri, vom întări blocuri de locuințe, monumente istorice, clădiri emblematice, muzee și case memoriale, protejând astfel patrimoniul cultural al Bucureștiului și asigurându-i viitorul.",2025-03-04,2025-03-04_astazi-se-implinesc-48-de-ani-de-la-cutremurul-devastator-ca,"Deși există mențiuni despre restaurarea unei clădiri pentru Muzeul Holocaustului și reconstrucția de locuințe, precum și construirea de noi corpuri de spital, nu există dovezi clare că aceste acțiuni vizează întărirea (consolidarea) blocurilor de locuințe, monumentelor istorice sau clădirilor emblematice existente, așa cum promitea campania. Se vorbește mai mult de restaurare, reconstrucție și construcții noi, nu neapărat de întărirea structurilor vechi.","Am făcut o achiziție publică în care tema de proiect a fost ăă restaurarea respectivei clădiri și funcționalizarea ei ca Muzeu al Holocaustului. | Iar reconstrucția ă reconstrucția ăă are o componentă de ăă economică, să i spunem, da, reconstrucție, firme ăă ăă a reconstrui niște ă instalații, locuințe, ăă rețele și așa mai departe. | Dar vedem totuși primele corpuri noi de spital care sunt construite prin finanțare din PNRR."
NO_MENTION,high,București/local,high,1,"Voi asigura că în noua configurație, vor putea fi cazați 356 de căței, față de 196.","În noua configurație, vor putea fi cazați 356 de căței, față de 196, cât adăposteau țarcurile desființate.",2025-03-02,2025-03-02_marim-capacitatea-de-cazare-a-adapostului-de-caini-aspa-miha,"Niciuna dintre dovezile furnizate nu menționează direct sau indirect promisiunea de a crește capacitatea de cazare pentru căței de la 196 la 356. Discursurile se referă la subiecte complet diferite, cum ar fi numiri, strategii militare sau proiecte energetice.",
NO_MENTION,high,București/local,high,1,Voi mări capacitatea de cazare a adăpostului de câini ASPA Mihăilești cu 160 de locuri.,Mărim capacitatea de cazare a adăpostului de câini ASPA Mihăilești cu 160 de locuri.,2025-03-02,2025-03-02_marim-capacitatea-de-cazare-a-adapostului-de-caini-aspa-miha,"Niciuna dintre dovezile furnizate nu menționează adăpostul de câini ASPA Mihăilești, capacitatea de cazare a acestuia, sau orice subiect legat de animale de companie sau bunăstarea animalelor. Discursurile se concentrează pe cheltuieli militare și apărare.",
NO_MENTION,high,București/local,high,1,"Voi asigura că noile spații de cazare, moderne, vor oferi câinilor loc suficient pentru a se mișca liber, a se juca și a-și dezvolta natural comportamentele.","Noile spații de cazare, moderne, vor asigura câinilor loc suficient pentru a se mișca liber, a se juca și a-și dezvolta natural comportamentele.",2025-03-02,2025-03-02_marim-capacitatea-de-cazare-a-adapostului-de-caini-aspa-miha,"Niciuna dintre dovezile furnizate nu menționează direct sau indirect subiectul spațiilor de cazare pentru câini, condițiile acestora, sau bunăstarea animalelor. Declarațiile se referă la subiecte complet diferite, cum ar fi infrastructura energetică (Tarnița), sistemul judiciar (parchete), mediul în general (fără a detalia aspecte legate de animale), sau discuții generale.",
NO_MENTION,high,București/local,high,1,"Voi îmbunătăți experiența vizitatorilor în interacțiunea cu cățeii ASPA prin aceste spații noi, crescând astfel șansele de adopție.","Totodată, aceste spații noi vor îmbunătăți experiența vizitatorilor în interacțiunea cu cățeii ASPA, astfel că vor crește și șansele de adopție ale acestor câini.",2025-03-02,2025-03-02_marim-capacitatea-de-cazare-a-adapostului-de-caini-aspa-miha,"Niciuna dintre dovezile furnizate nu menționează câinii ASPA, spații noi pentru interacțiunea cu aceștia sau creșterea șanselor de adopție. Declarațiile se referă la subiecte precum relațiile externe, proiecte energetice, portaluri comunitare și sistemul judiciar.",
IN_PROGRESS,high,economie,medium,1,Mă angajez să sprijin dezvoltarea industriei locale și să încurajez investițiile în tehnologie și sustenabilitate.,"Ca viitor președinte, mă angajez să sprijin dezvoltarea industriei locale și să încurajez investițiile în tehnologie și sustenabilitate pentru a asigura un viitor prosper pentru România!",2025-03-06,2025-03-06_o-afacere-de-familie-infiintata-in-1995-in-bacau-a-crescut-s,"Declarațiile lui ND menționează în mod repetat sprijinul pentru inovație, tehnologie, antreprenoriat local și investiții durabile, indicând o aliniere cu promisiunea. Cu toate acestea, nu există dovezi concrete de acțiuni finalizate, ci mai degrabă intenții, discuții și obiective.","Inovarea, susținerea antreprenoriatului și construirea unei punți solide între diaspora și România rămân priorități pentru dezvoltarea durabilă a țării noastre. | Este în interesul ambelor țări să valorifice acest potențial prin parteneriate durabile în domenii precum infrastructura, energia, construcțiile și tehnologiile inovatoare. | Apoi am discutat cu antreprenorii locali despre cum putem susține inovația în România."
NO_MENTION,high,București/local,high,1,ALPAB va curăța lacurile din parcuri.,"De asemenea, ALPAB va curăța lacurile din parcuri.",2025-03-11,2025-03-11_facem-curatenia-de-primavara-in-parcurile-pe-care-le-adminis,"Niciuna dintre dovezile furnizate nu menționează ALPAB, curățarea lacurilor din parcuri sau orice altă acțiune specifică legată de întreținerea parcurilor sau a lacurilor din București. Declarațiile se referă la justiție, mediu la nivel național, gestionarea deșeurilor, irigații sau situații de urgență, dar nu la promisiunea specifică.",
NO_MENTION,high,București/local,high,1,"Vom efectua curățenia de primăvară în parcurile administrate de noi, incluzând toaletarea arborilor și arbuștilor, tunderea gardurilor vii, îngrijirea rondurilor de trandafiri, salubrizarea aleilor, mobilierului urban, locurilor de joacă și țarcurilor pentru câini, precum și repararea băncilor și gardurilor.","Facem curățenia de primăvară în parcurile pe care le administrăm. În lunile martie și aprilie, vom toaleta arborii și arbuștii, vom tunde gardurile vii, vom îngriji rondurile de trandafiri, vom salubriza aleile, mobilierul urban, locurile de joacă și țarcurile pentru câini și vom repara băncile și gardurile.",2025-03-11,2025-03-11_facem-curatenia-de-primavara-in-parcurile-pe-care-le-adminis,"Niciuna dintre dovezile furnizate nu menționează direct sau indirect curățenia de primăvară în parcuri, toaletarea arborilor, tunderea gardurilor vii, îngrijirea rondurilor de trandafiri, salubrizarea aleilor, mobilierului urban, locurilor de joacă, țarcurilor pentru câini sau repararea băncilor și gardurilor. Discursurile se referă la subiecte precum activitatea parchetelor, mediul la nivel general (reformarea instituțiilor, Garda de Mediu, Romsilva, gestionarea deșeurilor) sau infrastructură (pistă, Tarnița), dar nu la aspectele specifice ale promisiunii.",
NO_MENTION,high,București/local,high,1,Voi depune cererile de finanțare în luna iunie prin Programul Operațional Regional pentru reabilitarea celor 14 loturi de infrastructură de tramvai.,Vom depune cererile de finanțare în luna iunie prin Programul Operațional Regional pentru reabilitarea celor 14 loturi de infrastructură de tramvai.,2025-03-14,2025-03-14_am-avut-o-intalnire-importanta-la-sediul-primariei-capitalei,"Niciuna dintre dovezile furnizate nu menționează depunerea cererilor de finanțare pentru reabilitarea celor 14 loturi de infrastructură de tramvai prin Programul Operațional Regional, nici în luna iunie 2025, nici ulterior. Deși există discuții generale despre fonduri europene și infrastructură, nu există nicio referire specifică la promisiunea inițială.",
NO_MENTION,high,economie,medium,1,"Voi asigura că disciplina bugetară va începe de la președintele țării, respectând banul public.",Disciplina bugetară despre care vorbesc va începe de la președintele țării. Respectul pentru banul public trebuie să fie o regulă în administrația publică din România.,2025-03-18,2025-03-18_transparenta-cheltuirii-banilor-cetatenilor-trebuie-sa-devin,"Deși există numeroase mențiuni despre buget și stabilitate fiscală, niciuna dintre declarațiile președintelui nu face referire specifică la 'disciplina bugetară începând de la președintele țării' sau la 'respectarea banului public' în contextul propriului său rol sau al instituției prezidențiale. Discuțiile se concentrează pe bugetul național și pe acțiunile guvernului.",
IN_PROGRESS,medium,legi/reformă instituțională,medium,1,"Dacă voi fi ales Președintele României, voi face schimbări profunde în administrația publică din România, păstrând direcția occidentală.","Dacă voi fi ales Președintele României, voi face schimbări profunde în administrația publică din România păstrând însă direcția occidentală.",2025-03-15,2025-03-15_romania-trebuie-sa-se-dezvolte-mult-mai-echilibrat-si-sa-imp,"ND menționează în repetate rânduri necesitatea unei schimbări fundamentale în administrația publică și dorința de a acționa pentru o guvernare pro-occidentală. Cu toate acestea, dovezile nu indică acțiuni concrete sau finalizate, ci mai degrabă intenții și obiective.","Statul român are nevoie de o schimbare fundamentală, bineînțeles în limitele statului de drept, și vă invit să continuați să fiți implicați cu toată forța socială pe care ați dovedit-o pentru a pune presiunea pozitivă pe instituțiile statului român pentru ca acestea să se reformeze, și vă asigur că voi fi un președinte deschis la vocea societății și partener cu societatea. | Eu doresc și voi acționa pentru ca România să fie guvernată de forțe procidentale. | Da, eu cred că ăă ăă în România va fi o administrație nouă."
IN_PROGRESS,high,alt,low,1,Voi folosi perseverența mea pentru a contribui la o Românie mai puternică.,Voi folosi această perseverență pentru a face o Românie mai puternică.,2025-03-17,2025-03-17_unii-ma-considera-incapatanat-altii-ma-vad-perseverent-acest,"Promisiunea este foarte generală și se referă la o contribuție la o Românie mai puternică. Deși nu există acțiuni concrete finalizate menționate, discursurile lui Nicușor Dan indică o intenție clară de a lucra în această direcție, menționând eforturi pentru un stat mai eficient și o economie mai puternică, precum și credința în potențialul României.","Jur să mi dăruiesc toată puterea și priceperea pentru propășirea spirituală și materială a poporului român... | Va avea în mine un partener în efortul de a construi un stat mai eficient și o economie mai puternică pentru toți românii. | România are resurse, profesioniști, curaj. Dacă ne adunăm toate energiile, nu avem cum să nu reușim."
NO_MENTION,high,București/local,medium,1,Voi lucra la modernizarea liniilor de tramvai.,"Concomitent, lucrăm și la modernizarea liniilor de tramvai.",2025-03-23,2025-03-23_anul-acesta-continuam-investitiile-in-modernizarea-transport,"Niciuna dintre dovezile furnizate nu menționează direct sau indirect modernizarea liniilor de tramvai. Declarațiile se referă la transportul public în general, la energie nucleară sau la alte subiecte, fără a atinge specific promisiunea.",
NO_MENTION,high,București/local,high,1,"Voi achiziționa încă 250 de tramvaie noi, având documentația pregătită pentru fonduri nerambursabile.","Vom achiziționa încă 250 de tramvaie noi, avem documentația pregătită pentru accesarea fondurilor nerambursabile prin Programul Operațional Regional, așteptăm  lansarea ghidului în câteva luni.",2025-03-23,2025-03-23_anul-acesta-continuam-investitiile-in-modernizarea-transport,"Niciuna dintre dovezile furnizate nu menționează achiziția de tramvaie noi, fonduri nerambursabile pentru transportul public sau orice subiect legat de infrastructura de transport local din București. Discursurile se concentrează pe subiecte precum exerciții militare, bugetul multianual, pensii speciale, echipamente militare și finanțări PNRR pentru spitale.",
IN_PROGRESS,medium,legi/reformă instituțională,medium,1,"Dacă voi fi ales președinte, voi folosi experiența mea administrativă pentru a transforma România într-o țară eficientă.","Dacă voi fi ales președinte, voi pune în practică toată experiența acumulată în administrație în ultimii ani pentru a face din România o țară eficientă.",2025-03-20,2025-03-20_daca-voi-fi-ales-presedinte-voi-pune-in-practica-toata-exper,"Deși președintele ND menționează intenția de a construi un stat mai eficient și de a fi un partener în acest efort, dovezile prezentate nu indică acțiuni concrete sau reforme instituționale finalizate care să transforme România într-o țară eficientă. Declarațiile se axează mai mult pe intenții și colaborare, nu pe rezultate concrete ale experienței administrative promise.",Va avea în mine un partener în efortul de a construi un stat mai eficient și o economie mai puternică pentru toți românii. | Discut în mod frecvent cu liderii coaliției și în aceste discuții încerc inclusiv pe chestiuni care țin de să zicem de latura executivă să conving de niște lucruri care mi se par bune pentru România.
IN_PROGRESS,medium,economie,medium,1,Voi acționa ferm pentru a opri risipa banului public în calitate de Președinte al României.,Ca Președinte al României voi acționa ferm pentru a opri risipa banului public.,2025-03-23,2025-03-23_romania-se-confrunta-cu-o-criza-de-datorie-si-cheltuieli-far,"Deși promisiunea de a opri risipa banului public nu este menționată explicit, există declarații care indică o preocupare pentru utilizarea eficientă a fondurilor și respectarea angajamentelor fiscale, ceea ce se aliniază cu spiritul promisiunii. Acestea sunt însă obiective generale, nu acțiuni concrete de 'oprire a risipei'.","La rândul meu, l-am asigurat că vom depune toate eforturile pentru a folosi în mod eficient aceste fonduri, astfel încât fiecare euro să fie valorificat în beneficiul României. | Am discutat în special despre situația fiscal-bugetară a României, despre procedura de deficit excesiv și reformele și măsurile pe care Guvernul le ia. L-am asigurat că există toată determinarea de a face aceste reforme și de a avea stabilitatea politică și predictibilitatea necesare. | România își păstrează angajamentele pe deficit, își păstrează angajamentele pe obiectivele imediate corelate cu financiarul sfeife și PNRR și direcția procidentală."
