entity,period,n_passages,n_docs,sentiment,confidence,rationale
SUA,2026Q2 cotitură UE + criză guvern,15,14,pozitiv,high,"Nicușor Dan menționează în mod repetat că România este protejată de umbrela nucleară NATO asigurată de Statele Unite și subliniază colaborarea cu SUA pentru sporirea securității României, considerând parteneriatul strategic cu Statele Unite ca fiind fundamentul apărării."
SUA,2025Q3 deficit + reforma economică,12,9,n/a,?,timeout: 'list' object is not a mapping
R. MOLDOVA,2025Q4 stabilizare + diplomație,9,8,pozitiv,high,"Nicușor Dan exprimă un sprijin puternic pentru Republica Moldova, menționând ajutorul, importanța alegerilor și susținerea integrării europene. De asemenea, el subliniază importanța strategică a Republicii Moldova pentru România."
R. MOLDOVA,2025Q4-2026Q1 reformă judiciară,4,2,pozitiv,high,"Nicușor Dan exprimă un sprijin puternic pentru parcursul european al Republicii Moldova, considerând-o o prioritate esențială de politică externă și un stat în care 'se vorbește și se simte românește'."
R. MOLDOVA,2025Q3 deficit + reforma economică,16,10,n/a,?,timeout: 'list' object is not a mapping
SUA,2025Q4-2026Q1 reformă judiciară,48,16,n/a,?,timeout: 'list' object is not a mapping
UE,2025Q2 campanie + investitură,12,8,pozitiv,high,"Nicușor Dan susține activ apartenența României la UE, considerând-o o sursă de prosperitate, securitate și avantaje economice, și pledează pentru o participare activă a României în procesele de decizie la nivelul UE, precum și pentru sprijinirea integrării Republicii Moldova în UE."
UE,2024Q4-2025Q1 candidatură-precampanie,7,6,n/a,?,timeout: 'list' object is not a mapping
R. MOLDOVA,2026Q2 cotitură UE + criză guvern,10,9,n/a,?,timeout: 'list' object is not a mapping
UE,2026Q2 cotitură UE + criză guvern,16,9,pozitiv,high,"Nicușor Dan subliniază beneficiile aderării la UE pentru dezvoltarea României și susține integrarea altor țări, precum Ucraina și Moldova, în Uniunea Europeană, considerând-o o sursă de modernizare și prosperitate."
RUSIA,2025Q3 deficit + reforma economică,17,12,negativ,high,"Nicușor Dan menționează Rusia în contextul agresiunii în Crimeea, războiului din Ucraina, amenințării la adresa securității României și a războiului hibrid, calificând-o drept 'cea mai mare amenințare a prezentului' și afirmând că 'nimeni nu și dorește să aibă Rusia ca vecină'."
UE,2025Q3 deficit + reforma economică,20,12,n/a,?,timeout: 'list' object is not a mapping
UE,2025Q4 stabilizare + diplomație,12,9,n/a,?,timeout: 'list' object is not a mapping
RUSIA,2025Q4 stabilizare + diplomație,39,19,negativ,high,"Nicușor Dan exprimă o atitudine puternic negativă față de Rusia, acuzând-o de destabilizare, atacuri informaționale, finanțare de dezinformare și încercarea de a influența alegerile, subliniind că 'Rusia nu și a dorit niciodată pacea în Ucraina' și că 'Federația Rusă vrea s o pună în societatea româ"
CSM,2025Q3 deficit + reforma economică,23,5,mixt,high,"Nicușor Dan exprimă dorința de a fi un partener pentru CSM și de a colabora, dar critică 'debacle' în gestionarea cererilor de pensionare și modul în care CSM a gestionat anumite aspecte."
UE,2025Q4-2026Q1 reformă judiciară,32,16,n/a,?,timeout: 'list' object is not a mapping
RUSIA,2026Q2 cotitură UE + criză guvern,6,5,negativ,high,"Nicușor Dan descrie Rusia ca un actor care duce un război informațional împotriva României și a țărilor europene, o amenințare comună pentru statele din formatul B9 și o sursă de agresiune hibridă împotriva Moldovei. De asemenea, critică dependența Europei de gazul ieftin din Rusia ca o greșeală."
CSM,2025Q4 stabilizare + diplomație,7,4,mixt,high,"Nicușor Dan critică vehement 'reacția CSM-ului a fost mult exagerată' și 'nu a fost cel mai echilibrat gestul CSM-ului de a face o plângere penală', dar salută 'declarația de ieri a CSM-ului că va aviza astfel încât guvernul să poată să și asume răspunderea'."
RUSIA,2025Q4-2026Q1 reformă judiciară,11,9,n/a,?,timeout: 'list' object is not a mapping
CSM,2025Q4-2026Q1 reformă judiciară,13,3,negativ,high,"Nicușor Dan critică în mod repetat CSM-ul, acuzându-l de lipsă de reprezentativitate, control discreționar, aservire a Inspecției Judiciare și perpetuarea unui sistem feudal. Afirmații precum 'CSM ul nu are reprezentativitate' și 'Inspecția judiciară este aservită CSM ului' demonstrează o atitudine "
CSM,2026Q2 cotitură UE + criză guvern,15,4,mixt,high,"Nicușor Dan critică CSM pentru refuzul numirii procurorilor și pentru modul în care gestionează reputația acestora, dar menționează și respectul său pentru opinia CSM și pentru procurorii din secția de procurori a CSM."
NATO,2025Q2 campanie + investitură,8,6,pozitiv,high,"Nicușor Dan susține în mod repetat apartenența României la NATO, considerând-o esențială pentru securitate și direcția pro-occidentală a țării, și pledează pentru o participare activă și consolidarea relațiilor în cadrul alianței."
NATO,2024Q4-2025Q1 candidatură-precampanie,10,6,pozitiv,high,"Nicușor Dan susține ferm apartenența României la NATO, considerând-o o direcție asumată și un pilon de stabilitate, criticând pe cei care o pun în discuție. El menționează că 'niciunul dintre ele nu pune în discuție apartenența la Nato și la Uniunea Europeană e foarte bine că ele se reunesc și dau u"
NATO,2025Q3 deficit + reforma economică,11,9,pozitiv,high,"Nicușor Dan menționează NATO în contextul apărării împotriva agresiunii ruse, al colaborării cu țările din flancul estic și al angajamentelor pentru cheltuieli militare, subliniind rolul său esențial pentru securitatea României și a Europei. De asemenea, salută comunicatele NATO privind influența ru"
NATO,2025Q4-2026Q1 reformă judiciară,3,2,pozitiv,high,"Nicușor Dan menționează NATO în contextul programelor de apărare și al summitului unde s-a agreat o creștere a cheltuielilor pentru apărare, indicând o atitudine de susținere și colaborare."
NATO,2026Q2 cotitură UE + criză guvern,18,11,pozitiv,high,"Nicușor Dan subliniază în mod repetat beneficiile apartenenței României la NATO, menționând protecția oferită de 'umbrela nucleară NATO', dezvoltarea țării în urma aderării și rolul activ al României în cadrul alianței, inclusiv prin respectarea angajamentelor financiare și participarea la misiuni."
PARLAMENT,2025Q2 campanie + investitură,25,10,pozitiv,high,"Nicușor Dan menționează Parlamentul în contextul formării unui guvern stabil și cu majoritate, exprimându-și dorința ca partidele pro-occidentale să aibă susținere în Parlament pentru a asigura predictibilitate și a face reforme. De asemenea, el susține o reprezentare proporțională în Parlament pent"
PARLAMENT,2025Q3 deficit + reforma economică,12,4,n/a,?,timeout: 'list' object is not a mapping
NATO,2025Q4 stabilizare + diplomație,19,9,n/a,?,timeout: 'list' object is not a mapping
PARLAMENT,2025Q4 stabilizare + diplomație,8,5,n/a,?,timeout: 'list' object is not a mapping
PARLAMENT,2024Q4-2025Q1 candidatură-precampanie,12,5,n/a,?,timeout: 'list' object is not a mapping
PSD,2025Q3 deficit + reforma economică,3,3,n/a,?,timeout: 'list' object is not a mapping
PSD,2025Q4 stabilizare + diplomație,4,3,mixt,high,"Nicușor Dan critică PSD pentru tergiversarea deciziilor ('PSD ulice că de ce să facem noi acum în noiembrie?'), dar recunoaște influența și structura partidului ('PSD ul este un partid care are primari, mulți primari, 1700, care are structuri care își doresc niște lucruri') și exclude scenariul ca P"
PARLAMENT,2025Q4-2026Q1 reformă judiciară,18,9,n/a,?,timeout: 'list' object is not a mapping
PSD,2025Q2 campanie + investitură,11,9,n/a,?,timeout: 'list' object is not a mapping
PARLAMENT,2026Q2 cotitură UE + criză guvern,15,9,n/a,?,timeout: 'list' object is not a mapping
PSD,2025Q4-2026Q1 reformă judiciară,5,4,n/a,?,timeout: 'list' object is not a mapping
PSD,2026Q2 cotitură UE + criză guvern,11,11,n/a,?,timeout: 'list' object is not a mapping
GUVERN,2024Q4-2025Q1 candidatură-precampanie,9,4,n/a,?,timeout: 'list' object is not a mapping
GUVERN,2025Q2 campanie + investitură,12,6,n/a,?,timeout: 'list' object is not a mapping
GUVERN,2026Q2 cotitură UE + criză guvern,12,5,mixt,high,"Nicușor Dan exprimă atât susținere și încredere în acțiunile guvernului, afirmând că 'ritmul în care guvernul a acționat nu a fost unul bun' și că 'guvernul încearcă să țină această criză sub control', cât și critici sau rezerve, menționând că 'nu cred că e potrivit un guvern minoritar' și că 'a fos"
GUVERN,2025Q3 deficit + reforma economică,12,5,n/a,?,timeout: 'list' object is not a mapping
GUVERN,2025Q4 stabilizare + diplomație,8,3,n/a,?,timeout: 'list' object is not a mapping
GUVERN,2025Q4-2026Q1 reformă judiciară,7,5,n/a,?,timeout: 'list' object is not a mapping
STATUL ROMÂN,2025Q2 campanie + investitură,11,8,mixt,high,"Nicușor Dan critică Statul Român pentru cheltuieli excesive, lipsa de reformă și neglijență, dar subliniază și necesitatea unei schimbări fundamentale și a presiunii pozitive asupra instituțiilor sale pentru reformă, indicând o dorință de îmbunătățire."
STATUL ROMÂN,2025Q4-2026Q1 reformă judiciară,5,5,mixt,high,"Nicușor Dan menționează că reprezintă statul român în relațiile internaționale, ceea ce este o atitudine pozitivă, dar critică și progresele statului român în protejarea victimelor, indicând că 'e mult de optimizat'."
STATUL ROMÂN,2026Q2 cotitură UE + criză guvern,3,3,neutru,high,"Nicușor Dan menționează 'statul român' într-un context pur informativ, explicând cine îl reprezintă pe chestiuni financiare ('statul român este reprezentat de Ministerul Finanțelor'), fără a exprima o atitudine pozitivă sau negativă."
STATUL ROMÂN,2025Q3 deficit + reforma economică,23,9,n/a,?,timeout: 'list' object is not a mapping
CCR,2024Q4-2025Q1 candidatură-precampanie,5,4,n/a,?,timeout: 'list' object is not a mapping
CCR,2025Q3 deficit + reforma economică,7,5,mixt,high,"Nicușor Dan menționează CCR ca o instituție cu rol constituțional în procesul legislativ ('fie să o trimită la Curtea Constituțională'), dar își exprimă dezacordul față de o decizie a CCR ('Opinie pe care o am în continuare, chiar dacă Curtea Constituțională a spus altceva')."
CCR,2025Q2 campanie + investitură,7,6,n/a,?,timeout: 'list' object is not a mapping
CCR,2025Q4-2026Q1 reformă judiciară,3,3,n/a,?,timeout: 'list' object is not a mapping
STATUL ROMÂN,2025Q4 stabilizare + diplomație,12,7,n/a,?,timeout: 'list' object is not a mapping
POLONIA,2025Q3 deficit + reforma economică,3,2,pozitiv,high,"Nicușor Dan menționează Polonia ca partener strategic al României în cadrul NATO și în fața amenințării ruse, subliniind necesitatea colaborării."
POLONIA,2026Q2 cotitură UE + criză guvern,15,7,pozitiv,high,"Nicușor Dan vorbește constant despre colaborare, parteneriat strategic, viziune comună și sprijin reciproc cu Polonia, în domenii precum securitate, economie și politică."
CCR,2025Q4 stabilizare + diplomație,7,4,n/a,?,timeout: 'list' object is not a mapping
GEORGESCU,2024Q4-2025Q1 candidatură-precampanie,20,9,negativ,high,"Nicușor Dan critică în mod repetat lipsa de cifre și planuri economice concrete ale lui Georgescu, acuză campania sa de promovare ca fiind ilegală și finanțată dubios, și avertizează asupra consecințelor economice dezastruoase ale unei eventuale victorii a acestuia, precum și asupra riscului de scoa"
GEORGESCU,2025Q4 stabilizare + diplomație,6,3,negativ,high,"Nicușor Dan îl prezintă pe Călin Georgescu ca fiind parte dintr-o rețea cu bani, nu un 'călăreț singuratic', și îl asociază cu 'acțiunea de dezinfoc' și cu o acțiune a Rusiei, sugerând că alegerile câștigate de Georgescu au fost anulate pe bună dreptate."
GEORGESCU,2025Q2 campanie + investitură,11,5,mixt,high,"Nicușor Dan recunoaște că votul pentru Călin Georgescu a fost un vot antisistem și că Georgescu a avut o campanie interesantă, dând mesaje corecte despre problemele României. Pe de altă parte, el menționează și decizia BEC/Curții Constituționale privind candidatura lui Georgescu și critică ideile ec"
USR,2024Q4-2025Q1 candidatură-precampanie,4,3,pozitiv,high,"Nicușor Dan menționează că USR-ul a avut candidatul în turul doi, ceea ce le oferă un avantaj legitim în negocieri. De asemenea, el recunoaște că a fost votat de membrii USR și exprimă un mare respect pentru electoratul USR-ului."
USR,2025Q3 deficit + reforma economică,3,3,pozitiv,high,Nicușor Dan salută disponibilitatea USR de a participa la formarea guvernului și menționează o relație foarte bună cu miniștrii USR.
USR,2025Q4 stabilizare + diplomație,3,2,pozitiv,high,"Nicușor Dan menționează USR ca fiind de acord cu o acțiune rapidă ('PNL și USR zic hai să facem cât mai repede') și acceptă o invitație de la USR București, descriindu-i ca 'oameni cu care am colaborat mult timp'."
USR,2025Q4-2026Q1 reformă judiciară,4,4,neutru,high,"Nicușor Dan menționează USR în contextul deciziilor de coaliție și al preferințelor publicului, fără a exprima o atitudine favorabilă sau nefavorabilă. Afirmațiile sunt pur informaționale, indicând că 'decizia este la USR conform protocolului de coaliție' și că 'publicul USR își dorește un stat mai "
PNL,2025Q4-2026Q1 reformă judiciară,5,4,neutru,high,"Nicușor Dan menționează PNL în extrase într-un mod pur informativ, descriind rolul partidului în coaliția de guvernare și acordurile existente, fără a exprima o atitudine pozitivă sau negativă."
PNL,2024Q4-2025Q1 candidatură-precampanie,4,4,mixt,high,"Nicușor Dan critică guvernarea PSD PNL, dar recunoaște că 'a funcționat bine' intern. De asemenea, menționează că a fost votat și de membrii PNL și că PNL-ul a fost de acord cu o decizie importantă pentru București, dar și că scorul PNL arată o distanță a oamenilor față de Klaus Iohannis."
PNL,2025Q2 campanie + investitură,3,2,n/a,?,timeout: 'list' object is not a mapping
COMISIA EUROPEANĂ,2025Q2 campanie + investitură,4,4,mixt,high,"Nicușor Dan critică declarațiile care acuză Comisia Europeană de aducerea pandemiei, considerându-le 'trăznări', dar exprimă optimism și încredere în discuțiile cu Comisia Europeană privind fondurile europene, afirmând că 'oamenii de acolo dau credit noii puteri de la București'."
USR,2025Q2 campanie + investitură,8,5,n/a,?,timeout: 'list' object is not a mapping
COMISIA EUROPEANĂ,2025Q3 deficit + reforma economică,9,5,mixt,high,"Nicușor Dan recunoaște eșecurile României în fața Comisiei Europene ('ne-am dus la Comisia Europeană și am spus că vom face niște lucruri pe care nu le-am făcut', 'la noi o să spună că n-am făcut nimic'), dar subliniază și eforturile de a restabili credibilitatea și de a colabora ('suntem serioși at"
PNL,2026Q2 cotitură UE + criză guvern,5,5,n/a,?,timeout: 'list' object is not a mapping
FRANȚA,2026Q2 cotitură UE + criză guvern,6,6,pozitiv,high,"Nicușor Dan menționează un 'parteneriat strategic' cu Franța, care 'este într-o extindere' și exprimă recunoștință pentru 'soldați francezi în România', indicând o atitudine favorabilă și de colaborare."
COMISIA EUROPEANĂ,2025Q4-2026Q1 reformă judiciară,6,6,n/a,?,timeout: 'list' object is not a mapping
FRANȚA,2025Q4-2026Q1 reformă judiciară,6,6,n/a,?,timeout: 'list' object is not a mapping
SIMION,2025Q2 campanie + investitură,13,7,negativ,high,"Nicușor Dan critică vehement entitatea SIMION, asociind-o cu 'haos economic', 'blocarea societății', 'cultura urii', 'izolaționism', 'naționalizare' și 'atragerea de sancțiuni'."
DNA,2025Q4-2026Q1 reformă judiciară,4,3,n/a,?,timeout: 'list' object is not a mapping
SIMION,2025Q3 deficit + reforma economică,4,1,negativ,high,"Nicușor Dan critică acțiunile și credibilitatea lui Simion, considerându-l un personaj de interes public mai degrabă ca un cântăreț popular și punând la îndoială propunerile sale economice. De asemenea, îi minimalizează succesul electoral."
OCDE,2025Q3 deficit + reforma economică,4,3,pozitiv,high,"Nicușor Dan menționează intrarea în OCDE ca un obiectiv strategic care va face România 'interesantă pentru investitori străini' și va duce la 'relansarea' economiei, indicând o atitudine favorabilă."
GERMANIA,2025Q2 campanie + investitură,3,2,negativ,high,"Nicușor Dan folosește Germania ca un etalon de performanță economică imposibil de atins de România, criticând promisiunile false ale altor candidați: „Le spune un candidat:„Vin eu la președenție și România o să bată Germania.”"
OCDE,2025Q4 stabilizare + diplomație,3,3,pozitiv,high,"Nicușor Dan menționează OCDE ca o garanție pentru stabilitatea economică, o invitație pentru investiții străine și o oportunitate, exprimându-și optimismul față de aderare și mulțumind pentru suport."
OCDE,2026Q2 cotitură UE + criză guvern,8,8,pozitiv,high,"Nicușor Dan menționează OCDE în contextul sprijinului pentru aderarea României, al colaborării partidelor pentru atingerea jaloanelor și al consensului pe direcțiile mari ale României, indicând o atitudine favorabilă și de susținere."
GERMANIA,2025Q4-2026Q1 reformă judiciară,3,3,pozitiv,high,Nicușor Dan menționează Germania ca parte a unei coaliții puternice care formează un scut în jurul Ucrainei și afirmă o colaborare foarte bună cu Germania.
GERMANIA,2025Q3 deficit + reforma economică,5,3,pozitiv,high,"Nicușor Dan menționează vizite oficiale în Germania pentru întâlniri cu președintele și cancelarul, precum și cu oameni de afaceri, subliniind importanța dimensiunii economice și a colaborării. El afirmă că 'România și Germania au o istorie lungă de parteneriat' și că 'Germania este principalul part"
UNGARIA,2026Q2 cotitură UE + criză guvern,9,5,mixt,high,"Nicușor Dan critică opoziția Ungariei față de acordarea unui împrumut Ucrainei și abuzul mecanismului de unanimitate, considerând 'inadmisibil'. Totuși, el menționează și că 'poate că au și argumente' și că 'discuțiile bilaterale Ungaria Ucraina pe comunitatea maghiară din Ucraina și de discuțiile î"
TRUMP,2025Q4-2026Q1 reformă judiciară,3,2,mixt,high,"Nicușor Dan recunoaște că 'unde Donald Trump are dreptate este că decenii la rând Europa s a bazat pe securitatea dată de Statele Unite', indicând o apreciere a unei perspective, dar menționează și 'contradicții juridice' legate de o inițiativă a lui Trump, sugerând o rezervă."
TRUMP,2025Q2 campanie + investitură,5,3,mixt,high,"Nicușor Dan menționează că nu-l cunoaște bine pe Trump, dar crede că nu apreciază slugărnicia, ceea ce poate fi interpretat ca o critică la adresa celor care caută favoruri. Pe de altă parte, există mențiuni neutre despre administrația Trump și discuții diplomatice, precum și o referire la o schimba"
DNA,2026Q2 cotitură UE + criză guvern,14,3,n/a,?,timeout: 'list' object is not a mapping
